EmployeeID;FirstName;MiddleInitial;LastName;BirthDate;Gender;HireDate
1;Nicole;T;Fuller;03/07/1981 0:00;F;06/20/2011 7:15
2;Christine;W;Palmer;01/25/1968 0:00;F;04/27/2011 4:07
3;Pablo;Y;Cline;02/09/1963 0:00;M;03/30/2012 18:55
4;Darnell;O;Nielsen;02/06/1989 0:00;M;03/06/2014 6:55
5;Desiree;L;Stuart;05/03/1963 0:00;F;11/16/2014 22:59
6;Holly;E;Collins;01/13/1987 0:00;M;06/22/2013 13:20
7;Chadwick;P;Cook;05/02/1970 0:00;M;07/10/2016 6:22
8;Julie;E;Dyer;12/13/1956 0:00;M;10/14/2014 23:12
9;Daphne;X;King;05/02/1956 0:00;F;04/17/2013 14:48
10;Jean;P;Vang;12/30/1963 0:00;M;07/23/2012 15:02
11;Sonya;E;Dickson;01/14/1976 0:00;F;08/10/2016 15:59
12;Lindsay;M;Chen;09/03/1951 0:00;F;11/03/2011 0:44
13;Katina;Y;Marks;04/18/1963 0:00;M;12/12/2011 10:43
14;Wendi;G;Buckley;09/05/1961 0:00;M;07/11/2016 0:57
15;Kari;D;Finley;02/17/1972 0:00;M;07/13/2014 6:50
16;Chadwick;U;Walton;07/07/1951 0:00;M;02/10/2017 11:21
17;Seth;D;Franco;08/29/1989 0:00;M;07/11/2010 9:23
18;Warren;C;Bartlett;03/09/1964 0:00;M;02/22/2010 21:55
19;Bernard;L;Moody;03/22/1970 0:00;M;11/12/2013 19:25
20;Shelby;P;Riddle;06/13/1964 0:00;M;03/24/2013 8:36
21;Devon;D;Brewer;04/25/1966 0:00;M;01/24/2016 2:13
22;Tonia;O;Mc Millan;03/02/1952 0:00;F;11/25/2015 18:18
23;Janet;K;Flowers;03/01/1979 0:00;F;05/12/2010 2:52
